# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
#                                                   Alberto Garcia, May 2012
#                                           Nick Papior Andersen, April 2013
# --------------------------------------------------------------------------
# Energies are subtracted Ef (zero is Ef)
# E_F               =    -3.3661
# k_min, k_max      =     0.0000    0.0349
# E_min, E_max      =    -3.0000    3.0000
# Nbands, Nspin, Nk =   4610     1     5
# Using min_band, max_band =      1  4610
# Total number of bands =   4610
#
#        k            E
# --------------------------------------------------------------------------

      0.017457     -2.996910
      0.026186     -2.997410


      0.000000     -2.975710
      0.008729     -2.944710
      0.017457     -2.965910
      0.026186     -2.970110
      0.034914     -2.956710


      0.000000     -2.907610
      0.008729     -2.911710
      0.017457     -2.907610
      0.026186     -2.907310
      0.034914     -2.906910


      0.000000     -2.896710
      0.008729     -2.907610
      0.017457     -2.885810
      0.026186     -2.871410
      0.034914     -2.884810


      0.000000     -2.823010
      0.008729     -2.817210
      0.017457     -2.845110
      0.026186     -2.857810
      0.034914     -2.847010


      0.000000     -2.801910
      0.008729     -2.797410
      0.017457     -2.776510
      0.026186     -2.771210
      0.034914     -2.768710


      0.000000     -2.769210
      0.008729     -2.764810
      0.017457     -2.730210
      0.026186     -2.682610
      0.034914     -2.682610


      0.000000     -2.722510
      0.008729     -2.703810
      0.017457     -2.682810
      0.026186     -2.677910
      0.034914     -2.679610


      0.000000     -2.682810
      0.008729     -2.682710
      0.017457     -2.666510
      0.026186     -2.669110
      0.034914     -2.655410


      0.000000     -2.655810
      0.008729     -2.656010
      0.017457     -2.657310
      0.026186     -2.652310
      0.034914     -2.641810


      0.000000     -2.638810
      0.008729     -2.639110
      0.017457     -2.640810
      0.026186     -2.641110
      0.034914     -2.641110


      0.000000     -2.607310
      0.008729     -2.615210
      0.017457     -2.639610
      0.026186     -2.626210
      0.034914     -2.602610


      0.000000     -2.600910
      0.008729     -2.606710
      0.017457     -2.605010
      0.026186     -2.603310
      0.034914     -2.600010


      0.000000     -2.576910
      0.008729     -2.577010
      0.017457     -2.577210
      0.026186     -2.577810
      0.034914     -2.584610


      0.000000     -2.562810
      0.008729     -2.563710
      0.017457     -2.566710
      0.026186     -2.572610
      0.034914     -2.576410


      0.000000     -2.560110
      0.008729     -2.560010
      0.017457     -2.560010
      0.026186     -2.560210
      0.034914     -2.574310


      0.000000     -2.521010
      0.008729     -2.525010
      0.017457     -2.533310
      0.026186     -2.553010
      0.034914     -2.559710


      0.000000     -2.520910
      0.008729     -2.517710
      0.017457     -2.517810
      0.026186     -2.517310
      0.034914     -2.516110


      0.000000     -2.517710
      0.008729     -2.502810
      0.017457     -2.482110
      0.026186     -2.492210
      0.034914     -2.502010


      0.000000     -2.480310
      0.008729     -2.480110
      0.017457     -2.471910
      0.026186     -2.456310
      0.034914     -2.463310


      0.000000     -2.448010
      0.008729     -2.449410
      0.017457     -2.452310
      0.026186     -2.452410
      0.034914     -2.450210


      0.000000     -2.446110
      0.008729     -2.445910
      0.017457     -2.445410
      0.026186     -2.451410
      0.034914     -2.450010


      0.000000     -2.385010
      0.008729     -2.385010
      0.017457     -2.413610
      0.026186     -2.422910
      0.034914     -2.433610


      0.000000     -2.349510
      0.008729     -2.378310
      0.017457     -2.397210
      0.026186     -2.412610
      0.034914     -2.382810


      0.000000     -2.342510
      0.008729     -2.361410
      0.017457     -2.382810
      0.026186     -2.382910
      0.034914     -2.380710


      0.000000     -2.334510
      0.008729     -2.337710
      0.017457     -2.337210
      0.026186     -2.336210
      0.034914     -2.368210


      0.000000     -2.334410
      0.008729     -2.327110
      0.017457     -2.326610
      0.026186     -2.336010
      0.034914     -2.335710


      0.000000     -2.322010
      0.008729     -2.323910
      0.017457     -2.324910
      0.026186     -2.325910
      0.034914     -2.326410


      0.000000     -2.312110
      0.008729     -2.298910
      0.017457     -2.296810
      0.026186     -2.318710
      0.034914     -2.322110


      0.000000     -2.293210
      0.008729     -2.269610
      0.017457     -2.267110
      0.026186     -2.267510
      0.034914     -2.267610


      0.000000     -2.268410
      0.008729     -2.268110
      0.017457     -2.234310
      0.026186     -2.222710
      0.034914     -2.213410


      0.000000     -2.192010
      0.008729     -2.212310
      0.017457     -2.231410
      0.026186     -2.201010
      0.034914     -2.205310


      0.000000     -2.181210
      0.008729     -2.191310
      0.017457     -2.194410
      0.026186     -2.199610
      0.034914     -2.182610


      0.000000     -2.165810
      0.008729     -2.165710
      0.017457     -2.165610
      0.026186     -2.165210
      0.034914     -2.163710


      0.000000     -2.164010
      0.008729     -2.134710
      0.017457     -2.102710
      0.026186     -2.098810
      0.034914     -2.120210


      0.000000     -2.067810
      0.008729     -2.061910
      0.017457     -2.060610
      0.026186     -2.074210
      0.034914     -2.053710


      0.000000     -2.052810
      0.008729     -2.052810
      0.017457     -2.052710
      0.026186     -2.052710
      0.034914     -2.052710


      0.000000     -2.043310
      0.008729     -2.043310
      0.017457     -2.045310
      0.026186     -2.043310
      0.034914     -2.043310


      0.000000     -2.009010
      0.008729     -2.020810
      0.017457     -2.043310
      0.026186     -2.024610
      0.034914     -2.027310


      0.000000     -1.967610
      0.008729     -1.998310
      0.017457     -2.002710
      0.026186     -2.003310
      0.034914     -2.003410


      0.000000     -1.958310
      0.008729     -1.936610
      0.017457     -1.961710
      0.026186     -1.995410
      0.034914     -2.001610


      0.000000     -1.932810
      0.008729     -1.921910
      0.017457     -1.945110
      0.026186     -1.960410
      0.034914     -1.972010


